"Year","Area","Gear","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
1951,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1952,1,1,0.009,0.038,0.071,0.101,0.114,0.144,0.157,0.169,0.18,0.177
1953,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1954,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1955,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1956,1,1,0.009,0.044,0.085,0.113,0.136,0.144,0.164,0.169,0.18,0.177
1957,1,1,0.012,0.043,0.083,0.119,0.133,0.142,0.164,0.169,0.18,0.177
1958,1,1,0.009,0.046,0.075,0.099,0.122,0.148,0.16,0.169,0.18,0.177
1959,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1960,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1961,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1962,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1963,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1964,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1965,1,1,0.009,0.044,0.105,0.138,0.172,0.17,0.203,0.169,0.18,0.177
1966,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1967,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1968,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1969,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1970,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1971,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1972,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1973,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1974,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1975,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1976,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1977,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1978,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1979,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1980,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1981,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1982,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1983,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1984,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1985,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1986,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1987,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1988,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1989,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1990,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1991,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1992,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1993,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1994,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1995,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1996,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1997,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1998,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1999,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2000,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2001,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2002,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2003,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2004,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2005,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2006,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2007,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2008,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2009,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2010,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2011,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2012,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2013,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2014,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2015,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2016,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2017,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2018,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2019,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1951,2,1,0.018,0.058,0.067,0.085,0.099,0.114,0.126,0.142,0.096,0.177
1952,2,1,0.018,0.04,0.078,0.101,0.116,0.135,0.152,0.143,0.158,0.177
1953,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1954,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1955,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1956,2,1,0.018,0.043,0.088,0.11,0.121,0.147,0.16,0.166,0.158,0.158
1957,2,1,0.018,0.042,0.087,0.12,0.136,0.144,0.165,0.166,0.18,0.177
1958,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1959,2,1,0.018,0.062,0.088,0.098,0.117,0.141,0.147,0.164,0.158,0.177
1960,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1961,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1962,2,1,0.018,0.053,0.091,0.116,0.136,0.157,0.15,0.168,0.158,0.177
1963,2,1,0.018,0.058,0.088,0.119,0.144,0.166,0.162,0.164,0.173,0.184
1964,2,1,0.018,0.057,0.092,0.11,0.136,0.162,0.183,0.164,0.158,0.177
1965,2,1,0.018,0.056,0.097,0.114,0.145,0.186,0.182,0.256,0.158,0.177
1966,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1967,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1968,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1969,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1970,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1971,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1972,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1973,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1974,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1975,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1976,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1977,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1978,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1979,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1980,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1981,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1982,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1983,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1984,2,1,0.018,0.058,0.08,0.101,0.11,0.119,0.124,0.163,0.14,0.208
1985,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1986,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1987,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1988,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1989,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1990,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1991,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1992,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1993,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1994,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1995,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1996,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1997,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1998,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1999,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2000,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2001,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2002,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2003,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2004,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2005,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2006,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2007,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2008,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2009,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2010,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2011,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2012,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2013,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2014,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2015,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2016,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2017,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2018,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
2019,2,1,0.018,0.043,0.087,0.104,0.123,0.141,0.147,0.164,0.158,0.177
1951,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1952,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1953,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1954,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1955,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1956,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1957,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1958,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1959,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1960,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1961,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1962,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1963,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1964,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1965,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1966,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1967,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1968,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1969,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1970,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1971,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1972,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1973,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1974,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1975,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1976,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1977,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1978,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1979,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1980,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1981,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1982,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1983,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1984,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1985,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1986,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1987,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1988,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1989,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1990,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1991,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1992,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1993,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1994,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1995,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1996,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1997,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1998,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
1999,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2000,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2001,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2002,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2003,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2004,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2005,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2006,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2007,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2008,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2009,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2010,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2011,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2012,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2013,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2014,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2015,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
2016,3,1,0.01,0.028,0.085,0.113,0.126,0.149,0.168,0.158,0.166,0.177
