"Year","Area","Gear","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
2016,3,2,0.013,0.064,0.096,0.125,0.151,0.181,0.19,0.199,0.218,0.21
2017,3,2,0.013,0.064,0.096,0.125,0.151,0.181,0.19,0.199,0.218,0.21
2018,3,2,0.013,0.064,0.096,0.125,0.151,0.181,0.19,0.199,0.218,0.21
2019,3,2,0.013,0.053,0.081,0.082,0.11,0.181,0.19,0.199,0.218,0.21
1951,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1952,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1953,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1954,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1955,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1956,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1957,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1958,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1959,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1960,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1961,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1962,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1963,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1964,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1965,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1966,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1967,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1968,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1969,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1970,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1971,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1972,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1973,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1974,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1975,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1976,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1977,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1978,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1979,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1980,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1981,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1982,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1983,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1984,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1985,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1986,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1987,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1988,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1989,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1990,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1991,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1992,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1993,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1994,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1995,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1996,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1997,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1998,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1999,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2000,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2001,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2002,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2003,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2004,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2005,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2006,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2007,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2008,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2009,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2010,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2011,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2012,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2013,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2014,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2015,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2016,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2017,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2018,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
2019,1,3,0.01,0.064,0.111,0.122,0.139,0.168,0.172,0.181,0.178,0.178
1951,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1952,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1953,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1954,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1955,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1956,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1957,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1958,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1959,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1960,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1961,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1962,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1963,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1964,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1965,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1966,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1967,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1968,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1969,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1970,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1971,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1972,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1973,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1974,2,3,0.01,0.064,0.112,0.148,0.169,0.194,0.214,0.175,0.176,0.216
1975,2,3,0.01,0.064,0.11,0.14,0.159,0.195,0.184,0.275,0.176,0.176
1976,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1977,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1978,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1979,2,3,0.01,0.064,0.11,0.141,0.158,0.168,0.184,0.182,0.221,0.2
1980,2,3,0.01,0.064,0.11,0.139,0.148,0.169,0.18,0.181,0.185,0.176
1981,2,3,0.01,0.064,0.132,0.134,0.149,0.168,0.176,0.195,0.201,0.176
1982,2,3,0.01,0.064,0.12,0.129,0.141,0.155,0.164,0.164,0.164,0.189
1983,2,3,0.01,0.064,0.11,0.142,0.148,0.157,0.171,0.177,0.182,0.203
1984,2,3,0.01,0.064,0.119,0.13,0.142,0.147,0.157,0.173,0.22,0.168
1985,2,3,0.01,0.064,0.11,0.154,0.151,0.168,0.169,0.181,0.159,0.176
1986,2,3,0.01,0.064,0.11,0.145,0.154,0.16,0.169,0.17,0.178,0.184
1987,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1988,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1989,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1990,2,3,0.01,0.064,0.102,0.13,0.137,0.153,0.16,0.17,0.175,0.178
1991,2,3,0.01,0.064,0.11,0.135,0.14,0.147,0.156,0.171,0.17,0.177
1992,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1993,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1994,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1995,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1996,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1997,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1998,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1999,2,3,0.01,0.064,0.12,0.124,0.128,0.133,0.143,0.149,0.154,0.162
2000,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2001,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2002,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2003,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2004,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2005,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2006,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2007,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2008,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2009,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2010,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2011,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2012,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2013,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2014,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2015,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2016,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2017,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2018,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
2019,2,3,0.01,0.064,0.11,0.134,0.144,0.155,0.165,0.175,0.176,0.176
1951,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1952,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1953,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1954,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1955,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1956,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1957,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1958,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1959,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1960,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1961,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1962,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1963,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1964,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1965,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1966,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1967,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1968,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1969,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1970,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1971,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1972,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1973,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1974,3,3,0.01,0.064,0.107,0.13,0.151,0.197,0.239,0.212,0.205,0.222
1975,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1976,3,3,0.01,0.064,0.115,0.177,0.183,0.198,0.208,0.217,0.205,0.222
1977,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1978,3,3,0.01,0.064,0.153,0.147,0.166,0.192,0.201,0.221,0.218,0.253
1979,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1980,3,3,0.01,0.064,0.144,0.148,0.158,0.174,0.19,0.2,0.194,0.19
1981,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1982,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1983,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1984,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1985,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1986,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1987,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1988,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1989,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1990,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1991,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1992,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1993,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1994,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1995,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1996,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1997,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1998,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
1999,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2000,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2001,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2002,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2003,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2004,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2005,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2006,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2007,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2008,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2009,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2010,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2011,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2012,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2013,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2014,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2015,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2016,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2017,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2018,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
2019,3,3,0.01,0.064,0.115,0.136,0.164,0.19,0.2,0.212,0.205,0.222
